security_code,company_name,active
7718,スター精密株式会社,true
6403,水道機工株式会社,true
3546,アレンザホールディングス株式会社,true
9719,ＳＣＳＫ株式会社,true
3902,メディカル・データ・ビジョン株式会社,true
2323,株式会社fonfun,true
1771,日本乾溜工業株式会社,true
7817,パラマウントベッドホールディングス株式会社,true
198A,ＰｏｓｔＰｒｉｍｅ株式会社,true
4267,株式会社ライトワークス,true
4957,ヤスハラケミカル株式会社,true
7092,株式会社Fast Fitness Japan,true
6588,東芝テック株式会社,true
7408,株式会社ジャムコ,true
3686,株式会社ディー・エル・イー,true
3271,株式会社THEグローバル社,true
6755,株式会社富士通ゼネラル,true
5070,株式会社ドラフト,true
1888,若築建設株式会社,true
1948,株式会社弘電社,true
1841,サンユー建設株式会社,true
1949,住友電設株式会社,true
7523,アールビバン株式会社,true
9107,川崎汽船株式会社,true
3803,イメージ情報開発株式会社,true
4551,鳥居薬品株式会社,true
4347,ブロードメディア株式会社,true
7991,マミヤ・オーピー株式会社,true
6279,株式会社瑞光,true
3319,株式会社ゴルフダイジェスト・オンライン,true
9164,株式会社トライト,true
7378,株式会社アシロ,true
5707,東邦亜鉛株式会社,true
6707,サンケン電気株式会社,true
202A,株式会社豆蔵,true
7501,株式会社ティムコ,true
2437,Shinwa Wise Holdings株式会社,true
4124,大阪油化工業株式会社,true
6937,古河電池株式会社,true
2936,ベースフード株式会社,true
6772,東京コスモス電機株式会社,true
4530,久光製薬株式会社,true
324A,株式会社ブッキングリゾート,true
9867,ソレキア株式会社,true
4712,株式会社ＫｅｙＨｏｌｄｅｒ,true
4323,日本システム技術株式会社,true
157A,グリーンモンスター株式会社,true
3529,アツギ株式会社,true
3989,シェアリングテクノロジー株式会社,true
2540,養命酒製造株式会社,true
9776,札幌臨床検査センター株式会社,true
8518,日本アジア投資株式会社,true
7863,株式会社　平賀,true
3963,株式会社シンクロ・フード,true
1813,株式会社不動テトラ,true
4800,オリコン株式会社,true
3010,ポラリス・ホールディングス株式会社,true
5341,ASAHI EITOホールディングス株式会社,true
2060,フィード・ワン株式会社,true
8105,Bitcoin Japan株式会社,true
2492,株式会社インフォマート,true
7752,株式会社リコー,true
7163,住信ＳＢＩネット銀行株式会社,true
8202,ラオックスホールディングス株式会社,true
3804,株式会社システム ディ,true
8511,日本証券金融株式会社,true
9072,ニッコンホールディングス株式会社,true
6794,フォスター電機株式会社,true
4972,綜研化学株式会社,true
4840,株式会社トライアイズ,true
8129,東邦ホールディングス株式会社,true
8107,株式会社キムラタン,true
2371,株式会社カカクコム,true
4047,関東電化工業株式会社,true
3267,株式会社フィル・カンパニー,true
9213,株式会社セイファート,true
9684,株式会社スクウェア・エニックス・ホールディングス,true
9265,ヤマシタヘルスケアホールディングス株式会社,true
6333,株式会社ＴＥＩＫＯＫＵ,true
4189,ＫＨネオケム株式会社,true
9941,太洋物産株式会社,true
5990,株式会社スーパーツール,true
6736,サン電子株式会社,true
5232,住友大阪セメント株式会社,true
9913,日邦産業株式会社,true
7128,フルサト・マルカホールディングス株式会社,true
7105,三菱ロジスネクスト株式会社,true
8624,いちよし証券株式会社,true
7921,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,true
2579,コカ・コーラ ボトラーズジャパンホールディングス株式会社,true
5011,ニチレキグループ株式会社,true
8127,ヤマトインターナショナル株式会社,true
6018,阪神内燃機工業株式会社,true
6237,株式会社イワキ,true
6727,株式会社ワコム,true
4616,川上塗料株式会社,true
8848,株式会社レオパレス２１,true
9663,株式会社ナガワ,true
280A,株式会社ＴＭＨ,true
8871,株式会社ゴールドクレスト,true
6928,エノモト,true
285A,キオクシアホールディングス株式会社,true
7745,株式会社Ａ＆Ｄホロンホールディングス,true
9024,株式会社西武ホールディングス,true
9882,株式会社イエローハット,true
4544,H.U.グループホールディングス株式会社,true
6517,デンヨー株式会社,true
3765,ガンホー・オンライン・エンターテイメント株式会社,true
3179,シュッピン株式会社,true
9699,ニシオホールディングス株式会社,true
6151,日東工器株式会社,true
2164,株式会社地域新聞社,true
6516,山洋電気株式会社,true
2784,アルフレッサ ホールディングス株式会社,true
6706,電気興業,true
8011,株式会社三陽商会,true
6958,日本シイエムケイ,true
3580,小松マテーレ株式会社,true
6262,株式会社ＰＥＧＡＳＵＳ,true
5992,中央発條株式会社,true
555A,株式会社北王ＧＲＯＵＰ,true
5449,大阪製鐵株式会社,true
5290,株式会社ベルテクスコーポレーション,true
6023,ダイハツインフィニアース株式会社,true
8737,株式会社あかつき本社,true
6989,北陸電気工業株式会社,true
6470,大豊工業,true
8585,株式会社オリエントコーポレーション,true
6810,マクセル株式会社,true
4320,株式会社ＣＥホールディングス,true
9755,応用地質株式会社,true
3237,株式会社イントランス,true
7347,株式会社マーキュリアホールディングス,true
9302,三井倉庫ホールディングス株式会社,true
8750,第一生命ホールディングス株式会社,true
8260,株式会社井筒屋,true
4512,わかもと製薬株式会社,true
8139,株式会社ナガホリ,true
5816,オーナンバ株式会社,true
3182,オイシックス・ラ・大地株式会社,true
3948,光ビジネスフォーム株式会社,true
9307,株式会社杉村倉庫,true
3454,ファーストブラザーズ株式会社,true
9702,株式会社アイ・エス・ビー,true
5162,株式会社朝日ラバー,true
6798,SMK,true
8746,unbanked株式会社,true
2207,株式会社meito,true
6927,ヘリオス　テクノ　ホールディング株式会社,true
8013,株式会社ナイガイ,true
4493,株式会社サイバーセキュリティクラウド,true
2108,日本甜菜製糖株式会社,true
5342,ジャニス工業株式会社,true
4549,栄研化学株式会社,true
8818,京阪神ビルディング株式会社,true
1921,株式会社巴コーポレーション,true
6392,株式会社ヤマダコーポレーション,true
5121,藤倉コンポジット株式会社,true
3086,Ｊ. フロント リテイリング株式会社,true
3964,株式会社オークネット,true
3774,株式会社インターネットイニシアティブ,true
9742,株式会社アイネス,true
5821,平河ヒューテック株式会社,true
3927,株式会社フーバーブレイン,true
5644,株式会社メタルアート,true
4092,日本化学工業株式会社,true
4783,ＮＣＤ株式会社,true
3983,株式会社オロ,true
1515,日鉄鉱業株式会社,true
9308,乾汽船株式会社,true
7995,株式会社バルカー,true
3544,サツドラホールディングス株式会社,true
4886,あすか製薬ホールディングス株式会社,true
4911,株式会社資生堂,true
6770,アルプスアルパイン株式会社,true
9722,藤田観光株式会社,true
8929,株式会社青山財産ネットワークス,true
1827,株式会社ナカノフドー建設,true
1976,明星工業株式会社,true
4495,株式会社アイキューブドシステムズ,true
5922,那須電機鉄工株式会社,true
6349,株式会社小森コーポレーション,true
1967,ヤマト,true
5013,ユシロ,true
9726,ＫＮＴ－ＣＴホールディングス,true
7279,株式会社ハイレックスコーポレーション,true
6675,サクサ株式会社,true
6277,ホソカワミクロン株式会社,true
4417,グローバルセキュリティエキスパート株式会社,true
9982,タキヒヨー株式会社,true
9127,玉井商船株式会社,true
5971,株式会社共和工業所,true
2001,株式会社ニップン,true
6328,荏原実業株式会社,true
6302,住友重機械工業株式会社,true
2585,株式会社ライフドリンク　カンパニー,true
6039,株式会社日本動物高度医療センター,true
4293,株式会社セプテーニ・ホールディングス,true
6312,フロイント産業株式会社,true
6890,株式会社フェローテック,true
6877,OBARA GROUP株式会社,true
2820,株式会社やまみ,true
3498,霞ヶ関キャピタル株式会社,true
4212,積水樹脂株式会社,true
9682,株式会社ＤＴＳ,true
4180,Ａｐｐｉｅｒ　Ｇｒｏｕｐ株式会社,true
7813,株式会社プラッツ,true
8022,美津濃株式会社,true
7254,株式会社　ユニバンス,true
3302,帝国繊維株式会社,true
7731,株式会社ニコン,true
9257,ＹＣＰホールディングス（グローバル）リミテッド,true
6249,株式会社ゲームカードホールディングス,true
3723,日本ファルコム株式会社,true
3417,大木ヘルスケアホールディングス株式会社,true
6255,株式会社エヌ・ピー・シー,true
7292,株式会社村上開明堂,true
5714,ＤＯＷＡホールディングス株式会社,true
1447,ＳＡＡＦホールディングス株式会社,true
9476,株式会社中央経済社ホールディングス,true
9073,京極運輸商事株式会社,true
7255,株式会社　桜井製作所,true
3184,ICDAホールディングス株式会社,true
5711,三菱マテリアル株式会社,true
7242,カヤバ株式会社,true
5451,株式会社ヨドコウ,true
9166,株式会社ＧＥＮＤＡ,true
3660,株式会社アイスタイル,true
5946,株式会社長府製作所,true
7284,盟和産業株式会社,true
7004,カナデビア株式会社,true
7244,市光工業株式会社,true
3950,ザ・パック株式会社,true
2484,株式会社出前館,true
8065,佐藤商事,true
6459,大和冷機工業株式会社,true
3921,株式会社ネオジャパン,true
9740,セントラル警備保障株式会社,true
8923,トーセイ株式会社,true
6080,M&amp;Aキャピタルパートナーズ株式会社,true
4976,東洋ドライルーブ株式会社,true
9115,明海グループ株式会社,true
9110,ＮＳユナイテッド海運株式会社,true
3001,片倉工業株式会社,true
9147,ＮＩＰＰＯＮ　ＥＸＰＲＥＳＳホールディングス株式会社,true
1866,北野建設株式会社,true
189A,株式会社D&amp;Mカンパニー,true
2286,林兼産業株式会社,true
6763,帝国通信工業株式会社,true
6952,カシオ計算機株式会社,true
2201,森永製菓株式会社,true
5951,ダイニチ工業株式会社,true
9633,東京テアトル株式会社,true
4973,日本高純度化学株式会社,true
5900,株式会社ダイケン,true
4025,多木化学株式会社,true
4819,株式会社デジタルガレージ,true
9854,愛眼株式会社,true
9885,株式会社シャルレ,true
5237,株式会社ノザワ,true
